id,module,title,role,source,source_url,target_format,license_status,priority,status,notes
ES11-028,05_moon,月球地形 relief,延伸圖,USGS Astrogeology,https://www.usgs.gov/centers/astrogeology-science-center,PNG,YELLOW,A,TO_SOURCE,使用特定 dataset 前核對 metadata
ES11-029,05_moon,Earth-Moon scale strip,尺度概念,SELF,,SVG,GREEN,A,TO_DRAW,標示 not to scale 或使用真比例二擇一
ES11-030,06_atmosphere_ocean,火山逸氣示意,核心圖解,SELF,,SVG,GREEN,S,TO_DRAW,氣體成分以教材需要為限
ES11-031,06_atmosphere_ocean,火山噴氣／逸氣實景,證據照片,USGS Multimedia Gallery,https://www.usgs.gov/products/multimedia-gallery,WebP,YELLOW,A,TO_SOURCE,選 USGS 原創且無第三方版權標示項目
ES11-032,06_atmosphere_ocean,大氣形成流程,核心因果圖,SELF,,SVG,GREEN,S,TO_DRAW,逸氣→累積→冷卻→演變
ES11-033,06_atmosphere_ocean,水氣凝結成海流程,核心圖解,SELF,,SVG,GREEN,S,TO_DRAW,降溫→凝結→降水→海洋
ES11-034,06_atmosphere_ocean,早期海洋概念背景,章節視覺,SELF,,SVG,GREEN,A,TO_DRAW,不用不必要的科幻色彩
ES11-035,06_atmosphere_ocean,水循環 icon set,資料卡圖示,Tabler Icons,https://tabler.io/icons,SVG,GREEN,B,TO_SOURCE,只取必要圖示並統一線寬
ES11-036,07_timeline,46 億年至早期地球總時間軸,章節總結,SELF,,SVG,GREEN,S,TO_DRAW,與每節 timeline strip 共用比例與標籤規格
ES11-037,07_timeline,五階段 memory strip,記憶工具,SELF,,SVG,GREEN,S,TO_DRAW,重力聚集／溫度選材／吸積長大／密度分層／冷卻成海
ES11-038,07_timeline,概念因果鏈總圖,章末統整,SELF,,SVG,GREEN,S,TO_DRAW,用箭頭清楚區分時間順序與因果關係
ES11-039,07_timeline,形成事件檢核卡,學習評量,SELF,,SVG,GREEN,A,TO_DRAW,用於排序／配對題
ES11-040,08_icons_patterns,天文 UI icon subset,介面圖示,Lucide,https://lucide.dev/,SVG,GREEN,A,TO_SOURCE,限定 12–20 個本章實際會用 icon
ES11-041,08_icons_patterns,地質 UI icon subset,介面圖示,Tabler Icons,https://tabler.io/icons,SVG,GREEN,A,TO_SOURCE,避免與 Lucide 混用於同一資訊層級
ES11-042,08_icons_patterns,地質紋理 subset,剖面／背景,FGDC Geologic Patterns,https://github.com/davenquinn/geologic-patterns,SVG,GREEN,A,TO_SOURCE,本章只取必要 6–10 種紋理
ES11-043,08_icons_patterns,科學資料 label system,UI 元件,SELF,,SVG,GREEN,S,TO_DRAW,MISSION/AGE/TEMP/DENSITY/PROCESS 等標籤
ES11-044,08_icons_patterns,箭頭與流程線系統,UI 元件,SELF,,SVG,GREEN,S,TO_DRAW,建立 movement/causal/timeline 三種不同箭頭語意
ES11-045,08_icons_patterns,來源／credit footer component,版權元件,SELF,,SVG,GREEN,S,TO_DRAW,每頁可重用；支援機構＋作者＋license
ES11-046,08_icons_patterns,章節封面 Earth visual,封面主視覺,NASA Blue Marble,https://science.nasa.gov/earth/earth-observatory/blue-marble-next-generation/,WebP,YELLOW,S,TO_SOURCE,逐頁確認 media credit；不使用 NASA Logo
